Ecosys;Types;Metric;μ;∑;x;σX;%;T1;T2;T3;T4
aWilcox;T1;Dup.;0.026;51;0;0.2;14.8;n.a;✕ (0.53);✓ (< 0.05);✕ (0.45)
aWilcox;T1;Tim.;91.574;180217;4;262;21.8;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
aWilcox;T1;Com.;4.355;8571;3;4.7;9.5;n.a;✓ (< 0.05);✕ (0.17);✓ (< 0.05)
aWilcox;T1;Reo.;0.062;122;0;0.3;13.8;n.a;✕ (0.29);✓ (< 0.05);✓ (< 0.05)
aWilcox;T1;Fil.;0.991;1950;1;0.1;3.7;n.a;✓ (< 0.05);✕ (0.28);✓ (< 0.05)
aWilcox;T1;Sev.;3.423;6737;4;1.3;13.2;n.a;✕ (0.18);✓ (< 0.05);✓ (< 0.05)
aWilcox;T1;Cha.;1;1968;1;0;1.9;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
aWilcox;T1;Hun.;3.814;7506;3;2.4;0;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
aWilcox;T1;Chur.;18.761;36921;7;48.6;0;n.a;✓ (< 0.05);✕ (0.09);✓ (< 0.05)
aWilcox;T2;Dup.;0.022;28;0;0.1;8.1;✕ (0.53);n.a;✕ (0.16);✕ (0.19)
aWilcox;T2;Tim.;115.158;143717;8;294.1;17.4;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
aWilcox;T2;Com.;5.041;6291;4;4.7;7;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
aWilcox;T2;Reo.;0.071;89;0;0.3;10.1;✕ (0.29);n.a;✓ (< 0.05);✕ (0.59)
aWilcox;T2;Fil.;4.381;5468;2;20.4;10.5;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
aWilcox;T2;Sev.;3.498;4365;4;1.2;8.6;✕ (0.18);n.a;✓ (< 0.05);✓ (< 0.05)
aWilcox;T2;Cha.;4.681;5842;2;20.4;5.5;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
aWilcox;T2;Hun.;561.995;701370;14;13628.2;3.9;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
aWilcox;T2;Chur.;14184.869;17702716;88;400710.2;8;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
aWilcox;T3;Dup.;0.016;50;0;0.1;14.5;✓ (< 0.05);✕ (0.16);n.a;✓ (< 0.05)
aWilcox;T3;Tim.;35.892;111300;1;151.8;13.5;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
aWilcox;T3;Com.;4.422;13712;3;4.4;15.2;✕ (0.17);✓ (< 0.05);n.a;✓ (< 0.05)
aWilcox;T3;Reo.;0.033;101;0;0.2;11.5;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
aWilcox;T3;Fil.;0.994;3081;1;0.1;5.9;✕ (0.28);✓ (< 0.05);n.a;✓ (< 0.05)
aWilcox;T3;Sev.;3.644;11300;4;1.1;22.2;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
aWilcox;T3;Cha.;1;3101;1;0;2.9;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
aWilcox;T3;Hun.;4.022;12472;3;3.4;0.1;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
aWilcox;T3;Chur.;16.954;52573;6;49.8;0;✕ (0.09);✓ (< 0.05);n.a;✓ (< 0.05)
aWilcox;T4;Dup.;0.029;216;0;0.2;62.6;✕ (0.45);✕ (0.19);✓ (< 0.05);n.a
aWilcox;T4;Tim.;52.76;391586;4;182.2;47.4;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
aWilcox;T4;Com.;8.313;61701;5;10.2;68.3;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
aWilcox;T4;Reo.;0.077;570;0;0.3;64.6;✓ (< 0.05);✕ (0.59);✓ (< 0.05);n.a
aWilcox;T4;Fil.;5.633;41805;3;14;79.9;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
aWilcox;T4;Sev.;3.835;28466;4;1;56;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
aWilcox;T4;Cha.;12.861;95455;4;52.2;89.7;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
aWilcox;T4;Hun.;2305.868;17114149;30;58094.7;96;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
aWilcox;T4;Chur.;27249.773;202247816;204;320023.5;91.9;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
nWilcox;T1;Dup.;0.086;67;0;0.4;2.5;n.a;✕ (0.39);✕ (0.24);✕ (0.86)
nWilcox;T1;Tim.;92.759;71981;10;219.1;2.3;n.a;✓ (< 0.05);✕ (0.15);✓ (< 0.05)
nWilcox;T1;Com.;4.687;3637;3;4.1;2.4;n.a;✓ (< 0.05);✕ (0.83);✓ (< 0.05)
nWilcox;T1;Reo.;0.054;42;0;0.3;1.9;n.a;✕ (0.1);✕ (0.58);✓ (< 0.05)
nWilcox;T1;Fil.;1.735;1346;1;13.2;0.8;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
nWilcox;T1;Sev.;4.314;3348;3;1.5;3.1;n.a;✕ (0.66);✓ (< 0.05);✓ (< 0.05)
nWilcox;T1;Cha.;1.085;842;1;0.4;2;n.a;✕ (0.99);✕ (0.26);✓ (< 0.05)
nWilcox;T1;Hun.;4.405;3418;3;7;0.5;n.a;✓ (< 0.05);✕ (0.13);✓ (< 0.05)
nWilcox;T1;Chur.;5.089;3949;2;12.5;0.3;n.a;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05)
nWilcox;T2;Dup.;0.067;16;0;0.3;0.6;✕ (0.39);n.a;✕ (0.73);✕ (0.39)
nWilcox;T2;Tim.;111.9;26856;16;308.6;0.9;✓ (< 0.05);n.a;✓ (< 0.05);✕ (0.41)
nWilcox;T2;Com.;4.433;1064;3;4;0.7;✓ (< 0.05);n.a;✓ (< 0.05);✓ (< 0.05)
nWilcox;T2;Reo.;0.079;19;0;0.3;0.9;✕ (0.1);n.a;✕ (0.11);✕ (0.97)
