Ecosys;metric;p-value all;p-value t1t2 vs t3t4;p-value t1t3 vs t2t4
aWilcox;Dup.;<0.01;<0.01;<0.01
aWilcox;Tim.;<0.01;<0.01;<0.01
aWilcox;Com.;<0.01;<0.01;<0.01
aWilcox;Reo.;<0.01;<0.01;<0.01
aWilcox;Fil.;<0.01;<0.01;<0.01
aWilcox;Sev.;<0.01;<0.01;<0.01
aWilcox;Cha.;<0.01;<0.01;<0.01
aWilcox;Hun.;<0.01;<0.01;<0.01
aWilcox;Chur.;<0.01;<0.01;<0.01
nWilcox;Dup.;<0.01;<0.01;<0.01
nWilcox;Tim.;<0.01;<0.01;<0.01
nWilcox;Com.;<0.01;<0.01;<0.01
nWilcox;Reo.;<0.01;<0.01;<0.01
nWilcox;Fil.;<0.01;<0.01;<0.01
nWilcox;Sev.;<0.01;<0.01;<0.01
nWilcox;Cha.;<0.01;<0.01;<0.01
nWilcox;Hun.;<0.01;<0.01;<0.01
nWilcox;Chur.;<0.01;<0.01;<0.01
allWilcox;Dup.;<0.01;<0.01;<0.01
allWilcox;Tim.;<0.01;<0.01;<0.01
allWilcox;Com.;<0.01;<0.01;<0.01
allWilcox;Reo.;<0.01;<0.01;<0.01
allWilcox;Fil.;<0.01;<0.01;<0.01
allWilcox;Sev.;<0.01;<0.01;<0.01
allWilcox;Cha.;<0.01;<0.01;<0.01
allWilcox;Hun.;<0.01;<0.01;<0.01
allWilcox;Chur.;<0.01;<0.01;<0.01
