Ecosystem;T1;T2;T3;T4;chisq
Apache;1968  ( 14.3 %);1248  ( 9.1 %);3101  ( 22.6 %);7422  ( 54 %);<0.01
Netbeans;776  ( 2.9 %);240  ( 0.9 %);8372  ( 31.3 %);17366  ( 64.9 %);<0.01
Overall;2744  ( 6.8 %);1488  ( 3.7 %);11473  ( 28.3 %);24788  ( 61.2 %);<0.01
Ecosystem;T1T2;;T3T4;;chisq
Apache;3216  ( 23.4 %);;10523  ( 76.6 %);;<0.01
Netbeans;1016  ( 3.8 %);;25738  ( 96.2 %);;<0.01
All;4232  ( 10.5 %);;36261  ( 89.5 %);;<0.01
Ecosystem;T1T3;;T2T4;;chisq
Apache;5069  ( 36.9 %);;8670  ( 63.1 %);;<0.01
Netbeans;9148  ( 34.2 %);;17606  ( 65.8 %);;<0.01
All;14217  ( 35.1 %);;26276  ( 64.9 %);;<0.01
